reason	source	line	original
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1073962	ao.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074148	aomori.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074396	ap.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1075378	apigee.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1076723	app.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1076972	appchizi.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1077697	applinzi.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078064	apps-1and1.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078065	apps-1and1.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078282	appspaceusercontent.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078292	appspot.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079134	aq.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079474	aquila.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079579	ar.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079582	ar.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1081431	arezzo.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082132	arkhangelsk.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082432	armenia.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082902	arq.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1083318	art.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1083324	art.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1085745	ashgabad.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1086836	asn.au
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1087692	asso.fr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1088040	asti.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1088701	at-band-camp.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1088741	at.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1089262	ath.cx
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1090178	atmeta.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1092191	augustow.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1093173	authgear-staging.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1093174	authgearapps.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1093381	auto.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1095045	av.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1095051	av.tr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1096589	avocat.fr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1097734	awsapps.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1098017	awsglobalaccelerator.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1099131	az.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1099529	azerbaijan.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101682	azure-api.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101683	azure-api.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101704	azure-mobile.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101733	azureedge.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101735	azurefd.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101765	azurestaticapps.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101771	azurewebsites.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101772	azurewebsites.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1101989	b.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1102609	ba.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1102869	babia-gora.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1103016	babyblue.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1103134	babymilk.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1103400	backdrop.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1105244	balashov.su
