hostname	firstLabel	labelCount	suggestedExactHostRule	suggestedPslOverrideLabel	networkStatus
bnr.la	bnr	2	bnr.la	bnr	not-tested
bo.it	bo	2	bo.it	bo	not-tested
bodo.no	bodo	2	bodo.no	bodo	not-tested
boldlygoingnowhere.org	boldlygoingnowhere	2	boldlygoingnowhere.org	boldlygoingnowhere	not-tested
boleslawiec.pl	boleslawiec	2	boleslawiec.pl	boleslawiec	not-tested
bolivia.bo	bolivia	2	bolivia.bo	bolivia	not-tested
bologna.it	bologna	2	bologna.it	bologna	not-tested
bolt.host	bolt	2	bolt.host	bolt	not-tested
bolt.hu	bolt	2	bolt.hu	bolt	not-tested
bolzano.it	bolzano	2	bolzano.it	bolzano	not-tested
bona.jp	bona	2	bona.jp	bona	not-tested
boo.jp	boo	2	boo.jp	boo	not-tested
boomla.net	boomla	2	boomla.net	boomla	not-tested
bounceme.net	bounceme	2	bounceme.net	bounceme	not-tested
boutir.com	boutir	2	boutir.com	boutir	not-tested
box.ca	box	2	box.ca	box	not-tested
boy.jp	boy	2	boy.jp	boy	not-tested
boyfriend.jp	boyfriend	2	boyfriend.jp	boyfriend	not-tested
bozen.it	bozen	2	bozen.it	bozen	not-tested
bplaced.com	bplaced	2	bplaced.com	bplaced	not-tested
bplaced.de	bplaced	2	bplaced.de	bplaced	not-tested
bplaced.net	bplaced	2	bplaced.net	bplaced	not-tested
br.com	br	2	br.com	br	not-tested
br.it	br	2	br.it	br	not-tested
brasilia.me	brasilia	2	brasilia.me	brasilia	not-tested
brave.app	brave	2	brave.app	brave	not-tested
bremerton.wa.us	bremerton	3	bremerton.wa.us	bremerton	not-tested
brescia.it	brescia	2	brescia.it	brescia	not-tested
brindisi.it	brindisi	2	brindisi.it	brindisi	not-tested
broke-it.net	broke-it	2	broke-it.net	broke-it	not-tested
browsersafetymark.io	browsersafetymark	2	browsersafetymark.io	browsersafetymark	not-tested
bryansk.su	bryansk	2	bryansk.su	bryansk	not-tested
bryne.no	bryne	2	bryne.no	bryne	not-tested
bs.it	bs	2	bs.it	bs	not-tested
bsb.br	bsb	2	bsb.br	bsb	not-tested
bss.design	bss	2	bss.design	bss	not-tested
bt.it	bt	2	bt.it	bt	not-tested
bubbleapps.io	bubbleapps	2	bubbleapps.io	bubbleapps	not-tested
builtwithdark.com	builtwithdark	2	builtwithdark.com	builtwithdark	not-tested
bukhara.su	bukhara	2	bukhara.su	bukhara	not-tested
bumbleshrimp.com	bumbleshrimp	2	bumbleshrimp.com	bumbleshrimp	not-tested
bungotakada.oita.jp	bungotakada	3	bungotakada.oita.jp	bungotakada	not-tested
busan.kr	busan	2	busan.kr	busan	not-tested
business.in	business	2	business.in	business	not-tested
but.jp	but	2	but.jp	but	not-tested
buyshop.jp	buyshop	2	buyshop.jp	buyshop	not-tested
buyshouses.net	buyshouses	2	buyshouses.net	buyshouses	not-tested
bydgoszcz.pl	bydgoszcz	2	bydgoszcz.pl	bydgoszcz	not-tested
byen.site	byen	2	byen.site	byen	not-tested
bytom.pl	bytom	2	bytom.pl	bytom	not-tested
bz.it	bz	2	bz.it	bz	not-tested
