hostname	testedAt	dnsStatus	ipv4	ipv6	dnsError	httpClassification	httpStatus	httpRedirectCount	httpRedirectChain	httpFinalUrl	httpFinalHostname	httpContentType	httpServer	httpChallengeSuspected	httpError	httpsClassification	httpsStatus	httpsRedirectCount	httpsRedirectChain	httpsFinalUrl	httpsFinalHostname	httpsContentType	httpsServer	httpsChallengeSuspected	httpsError	combinedClassification	suggestedAction
drr.ac	2026-07-21T16:55:50.3700947+00:00	resolved	127.0.0.1			request-failure	0	0		http://drr.ac/	drr.ac			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://drr.ac/	drr.ac			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	dns-only	retest-or-review-exact-host
dscloud.biz	2026-07-21T16:55:55.7894027+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dscloud.biz/	dscloud.biz			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dscloud.biz/	dscloud.biz			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dscloud.me	2026-07-21T16:55:57.0086873+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dscloud.me/	dscloud.me			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dscloud.me/	dscloud.me			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dscloud.mobi	2026-07-21T16:55:58.2148593+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dscloud.mobi/	dscloud.mobi			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dscloud.mobi/	dscloud.mobi			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dsmynas.com	2026-07-21T16:55:59.4348144+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dsmynas.com/	dsmynas.com			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dsmynas.com/	dsmynas.com			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dsmynas.net	2026-07-21T16:56:00.6399169+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dsmynas.net/	dsmynas.net			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dsmynas.net/	dsmynas.net			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dsmynas.org	2026-07-21T16:56:01.8381443+00:00	failed			Exception calling "Wait" with "1" argument(s): "One or more errors occurred."	request-failure	0	0		http://dsmynas.org/	dsmynas.org			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dsmynas.org/	dsmynas.org			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	not-resolved	no-automatic-action
dyndns1.de	2026-07-21T16:56:03.0423879+00:00	resolved	85.114.136.161	2001:4ba0:ffe6:1f::1		request-failure	301	1	https://dyndns1.de/	http://dyndns1.de/	dyndns1.de	text/html; charset=UTF-8	Apache	False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dyndns1.de/	dyndns1.de			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	dns-only	retest-or-review-exact-host
dyn-ip24.de	2026-07-21T16:56:04.4002516+00:00	resolved	85.114.136.161	2001:4ba0:ffe6:1f::1		request-failure	301	1	https://dyn-ip24.de/	http://dyn-ip24.de/	dyn-ip24.de	text/html; charset=UTF-8	Apache	False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	request-failure	0	0		https://dyn-ip24.de/	dyn-ip24.de			False	Exception calling "GetResult" with "0" argument(s): "An error occurred while sending the request."	dns-only	retest-or-review-exact-host
dynserv.org	2026-07-21T16:56:05.7078396+00:00	resolved	158.69.201.22			timeout	0	0		http://dynserv.org/	dynserv.org			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	timeout	0	0		https://dynserv.org/	dynserv.org			False	Exception calling "GetResult" with "0" argument(s): "A task was canceled."	temporarily-inconclusive	retest-later
